method,seed,bridge,gap,gap_nn,gap_ratio,torn
PCA,0,0-1,0.47902160405647665,10.537850352618616,0.14427549971070144,False
PCA,0,1-2,0.5661564631278206,12.454703575134396,0.20836519614241356,False
PCA,0,2-3,0.48955821173115527,10.769641975292329,0.17545105027276559,False
PCA,0,3-4,0.24955030113049617,5.489781058922838,0.14504723615082424,False
PCA,0,4-5,0.20829163057984473,4.58214413330414,0.13262959905125407,False
PCA,0,5-6,0.35901131761200833,7.897780617522494,0.1832976237903251,False
PCA,0,6-0,0.4578531552434087,10.07217209531213,0.16807649251157802,False
Isomap,0,0-1,3.8085401922686355,34.76756778942552,0.22535185976761768,False
Isomap,0,1-2,3.0582418289649858,27.918211371601828,0.13806878293730535,False
Isomap,0,2-3,3.9998509504133866,36.51401378102788,0.180197817926806,False
Isomap,0,3-4,3.2695137626895727,29.84687981330131,0.12364973970230894,False
Isomap,0,4-5,4.091090298425483,37.346923519912366,0.1356425818061226,False
Isomap,0,5-6,4.509823314038587,41.16947173288716,0.17268867192617463,False
Isomap,0,6-0,4.55009298148196,41.53708722911778,0.18069071697551292,False
PyMDE,0,0-1,0.0029990860976084562,0.20883719150861235,0.002990646519073664,False
PyMDE,0,1-2,0.4960560932136786,34.54217650506539,0.2869305757541548,False
PyMDE,0,2-3,0.08433958665666473,5.872869880067906,0.032090923058402256,False
PyMDE,0,3-4,0.0021585381826431872,0.15030680585888237,0.0021777704164187583,False
PyMDE,0,4-5,0.002230918969620685,0.15534694134669563,0.0018682087165814284,False
PyMDE,0,5-6,0.02340930308801487,1.6300742802860198,0.01383022653508384,False
PyMDE,0,6-0,0.0030865477834545866,0.21492746442584523,0.004928489837418953,False
PyMDE,1,0-1,0.0663400571334192,6.027700444338699,0.0365583710638756,False
PyMDE,1,1-2,0.12008575262919159,10.911069054794137,0.0457599803233099,False
PyMDE,1,2-3,0.2888243261272958,26.24276484164066,0.13509383313133064,False
PyMDE,1,3-4,0.7773246054984176,70.6282157782146,0.29549756809770295,False
PyMDE,1,4-5,0.005779672880796283,0.5251448114017098,0.0045182862548696825,False
PyMDE,1,5-6,0.014549534473265614,1.3219801006961274,0.009209105582527011,False
PyMDE,1,6-0,0.001250650008705686,0.11363486766413824,0.013955473818597283,False
PyMDE,2,0-1,0.027517542752908814,1.8776282355231813,0.016017840012559202,False
PyMDE,2,1-2,0.0021534937177443607,0.1469411947776905,0.0016034949327310844,False
PyMDE,2,2-3,0.0030771457249080506,0.2099655390667487,0.0035832195734352753,False
PyMDE,2,3-4,0.5682801201754851,38.775947725754165,0.24181595877722808,False
PyMDE,2,4-5,0.16584991632473953,11.316580428227738,0.08144222844618847,False
PyMDE,2,5-6,0.05394692906305839,3.68100735367649,0.03184901686503224,False
PyMDE,2,6-0,0.08526372220554128,5.8178731188491035,0.04269702933496758,False
PCC,0,0-1,5.070124987635903,18.768437353511604,0.143821172968681,False
PCC,0,1-2,5.699712210034313,21.099024542382008,0.08667485095633912,False
PCC,0,2-3,7.838717467028212,29.017130360803094,0.12481813141232413,False
PCC,0,3-4,4.278697258246746,15.838753806243004,0.12466083909753314,False
PCC,0,4-5,6.322114899619399,23.403016242117538,0.10098280851051547,False
PCC,0,5-6,6.919975207032781,25.61615768403519,0.11254826619649541,False
PCC,0,6-0,5.815043699484592,21.525955207782438,0.08910169652374256,False
PCC,1,0-1,6.386638485609068,23.92163024613911,0.09679736058908817,False
PCC,1,1-2,8.815684988411315,33.019804883962095,0.10352748395460139,False
PCC,1,2-3,5.091688895599232,19.071300084285497,0.13856921588445906,False
PCC,1,3-4,7.0887994098459215,26.551626298167008,0.08354224059409429,False
PCC,1,4-5,6.1557351959746445,23.05676477274523,0.09276624193577199,False
PCC,1,5-6,5.746826097298471,21.525165280327652,0.15952955324397372,False
PCC,1,6-0,7.926121767640611,29.68787956897975,0.08995730336632989,False
PCC,2,0-1,6.6821280784719335,24.593495402736874,0.10639789026640362,False
PCC,2,1-2,8.565540928672382,31.525374697611547,0.10483816912560989,False
PCC,2,2-3,5.337990994963239,19.646414353748856,0.16329798070163282,False
PCC,2,3-4,7.756921200273123,28.54925910398509,0.09576898489811078,False
PCC,2,4-5,5.691203332894956,20.946408293868018,0.08667623661316567,False
PCC,2,5-6,5.0105534194928625,18.441284129897245,0.14548319080105274,False
PCC,2,6-0,7.626952518267527,28.070910867335403,0.09574243719503406,False
t-SNE,0,0-1,6.562114752076735,22.96659499730241,0.30934461724201967,False
t-SNE,0,1-2,1.5367515633541369,5.3784415695955605,0.0832554935222928,False
t-SNE,0,2-3,7.2672641454482845,25.434531195009498,0.34211514478196264,True
t-SNE,0,3-4,1.9000328374453337,6.6498813732832485,0.09920405496633072,False
t-SNE,0,4-5,7.559885636889052,26.458670445134594,0.35711462263392973,True
t-SNE,0,5-6,4.203374367028588,14.71129359312659,0.21829264656000888,False
t-SNE,0,6-0,36.33976102834496,127.18469660601767,0.7753580833415812,True
t-SNE,1,0-1,9.896064006096438,34.91701574215789,0.4920449661432456,True
t-SNE,1,1-2,1.505381786992281,5.311550079100713,0.0867420967746912,False
t-SNE,1,2-3,8.015885544697632,28.283042791469143,0.38465832391249216,True
t-SNE,1,3-4,1.597054715677566,5.635006464595177,0.08918139587889624,False
t-SNE,1,4-5,6.829313998060137,24.096374501165613,0.344793057245927,True
t-SNE,1,5-6,4.5325875977444054,15.992664599345026,0.24957611594654813,False
t-SNE,1,6-0,9.518867886543017,33.58612673050498,0.44052672868225756,True
t-SNE,2,0-1,10.37457831851213,37.32471447013587,0.5021518263391893,True
t-SNE,2,1-2,1.4828802880875558,5.334971855916222,0.08666706949095794,False
t-SNE,2,2-3,9.025453363614993,32.47095538903499,0.4342754821385884,True
t-SNE,2,3-4,1.5125999241919497,5.441894460160625,0.08464010924278666,False
t-SNE,2,4-5,3.968953992413848,14.279141760163435,0.21666438489918288,False
t-SNE,2,5-6,6.286217196179615,22.615980596145512,0.3206128227392948,False
t-SNE,2,6-0,5.691273148373673,20.47554500172336,0.30802639377051255,False
UMAP,0,0-1,7.858516571871421,171.5329180391348,0.7901933782991875,True
UMAP,0,1-2,0.6657002419472262,14.53066924224514,0.12228663687529273,False
UMAP,0,2-3,13.48019399030843,294.2409028146345,0.8761856071054298,True
UMAP,0,3-4,1.300030330582691,28.37660188214447,0.23805756115769952,False
UMAP,0,4-5,1.773899089246783,38.720041410182176,0.3340976682102144,True
UMAP,0,5-6,5.4386240853837995,118.7123614172952,0.6922469636581594,True
UMAP,0,6-0,3.864701367443609,84.35733345403747,0.5814217809183568,True
UMAP,1,0-1,5.972572962826379,145.32632391998231,0.7156420517744714,True
UMAP,1,1-2,0.5076983375113701,12.353458636677468,0.10470739626164864,False
UMAP,1,2-3,9.310353954677277,226.5421490952911,0.833668577477862,True
UMAP,1,3-4,0.3317693479791439,8.072705018629337,0.07680810195279256,False
UMAP,1,4-5,1.1821671880428264,28.764824266924673,0.23035124710721314,False
UMAP,1,5-6,10.989694485420577,267.40433486711026,0.8622726790387917,True
UMAP,1,6-0,3.7225967257041312,90.57926976368536,0.5409830790399417,True
UMAP,2,0-1,6.248824157000587,147.09191395081317,0.7280574250946861,True
UMAP,2,1-2,1.260843386066494,29.67916238144949,0.23226607202992577,False
UMAP,2,2-3,13.442673705227044,316.4289079414928,0.8458378996343372,True
UMAP,2,3-4,0.3888152672012374,9.152374973114716,0.0767958329693463,False
UMAP,2,4-5,0.9411986757896493,22.155002469508183,0.19116707073824166,False
UMAP,2,5-6,4.01684723704545,94.55310844090944,0.5832189100043059,True
UMAP,2,6-0,5.41927298844981,127.5649972003126,0.7293508606331991,True
DREAMS,0,0-1,14.622918125132546,61.66052550077106,0.5825938530523056,True
DREAMS,0,1-2,1.3764577033416352,5.804115470752548,0.07612060415447441,False
DREAMS,0,2-3,8.06296065769828,33.999122951473964,0.4020491392684566,True
DREAMS,0,3-4,1.3090009795199948,5.519670395986391,0.08969408121377387,False
DREAMS,0,4-5,1.3191161809263925,5.562323211855793,0.09231352749813472,False
DREAMS,0,5-6,3.8341177833642677,16.16734193073035,0.2429284195640943,False
DREAMS,0,6-0,10.89238480826086,45.9299686619761,0.5300276675028437,True
toorPIA,0,0-1,0.20141551756009263,3.2034020010105926,0.12600872083798698,False
toorPIA,0,1-2,0.21536938111300785,3.42533045502805,0.13734107674727047,False
toorPIA,0,2-3,0.14781291537954325,2.3508823681411117,0.09577758271725745,False
toorPIA,0,3-4,0.20204586205364367,3.213427280276203,0.1349303100720052,False
toorPIA,0,4-5,0.1637678689487043,2.604637048061604,0.10572360383530467,False
toorPIA,0,5-6,0.16842154998693012,2.6786512617155744,0.1089451229950137,False
toorPIA,0,6-0,0.15202536315036383,2.4178790116056517,0.09773351906548904,False
