dim,n,data_seed,method,seed,stochastic,shepard_p5__vs_ambient,shepard_p10__vs_ambient,shepard_p20__vs_ambient,shepard_p30__vs_ambient,shepard_p50__vs_ambient,shepard_p75__vs_ambient,shepard_p100__vs_ambient,stress_p5__vs_ambient,stress_fidelity_p5__vs_ambient,stress_p10__vs_ambient,stress_fidelity_p10__vs_ambient,stress_p20__vs_ambient,stress_fidelity_p20__vs_ambient,stress_p30__vs_ambient,stress_fidelity_p30__vs_ambient,stress_p50__vs_ambient,stress_fidelity_p50__vs_ambient,stress_p75__vs_ambient,stress_fidelity_p75__vs_ambient,stress_p100__vs_ambient,stress_fidelity_p100__vs_ambient,full_shepard,full_stress,full_stress_fidelity,shepard_p5__vs_truth,shepard_p10__vs_truth,shepard_p20__vs_truth,shepard_p30__vs_truth,shepard_p50__vs_truth,shepard_p75__vs_truth,shepard_p100__vs_truth,stress_p5__vs_truth,stress_fidelity_p5__vs_truth,stress_p10__vs_truth,stress_fidelity_p10__vs_truth,stress_p20__vs_truth,stress_fidelity_p20__vs_truth,stress_p30__vs_truth,stress_fidelity_p30__vs_truth,stress_p50__vs_truth,stress_fidelity_p50__vs_truth,stress_p75__vs_truth,stress_fidelity_p75__vs_truth,stress_p100__vs_truth,stress_fidelity_p100__vs_truth,recall_k5,recall_k15,recall_k30,trust_k5,trust_k15,trust_k30,cont_k5,cont_k15,cont_k30,knn_acc_k10,silhouette_2d
6,1000,42,toorPIA-embedding,0,False,0.3702685450409446,0.438098704149975,0.5311479859902039,0.6872378824036588,0.7872312308718208,0.7601079389902214,0.8048944453343536,0.679476767827586,0.32052323217241396,0.6300628390903551,0.3699371609096449,0.5840237789810407,0.41597622101895926,0.5169245116250621,0.48307548837493786,0.40773518272088405,0.592264817279116,0.3609791749773698,0.6390208250226301,0.3482439056823332,0.6517560943176668,0.8048944453343536,0.3482439056823332,0.6517560943176668,0.006889735462988867,-0.00025197832112508077,-0.0010569701133984195,0.007269291050901829,0.5693689444069797,0.628687647684944,0.5735447546672751,0.7146099312815163,0.2853900687184837,0.7152729501056039,0.2847270498943961,0.7201996705454463,0.2798003294545537,0.7285975133436137,0.27140248665638633,0.630583157669115,0.369416842330885,0.514547174810724,0.485452825189276,0.46703847771034246,0.5329615222896575,0.1886,0.2716,0.3495666666666667,0.9007770161290323,0.8993605595359946,0.9062524532914266,0.966696370967742,0.9562244967587854,0.951156347127641,0.995,0.6143173793333948
10,1000,42,toorPIA-embedding,0,False,0.2563598637052662,0.3139467828883082,0.49131456954976954,0.5663713544274841,0.6004180456646949,0.6375696459955275,0.7295385554757076,0.5807156368769499,0.41928436312305006,0.5614288362132869,0.4385711637867131,0.519131137136301,0.480868862863699,0.4815700739117806,0.5184299260882195,0.43567726264518636,0.5643227373548136,0.4018925499931688,0.5981074500068312,0.3805345678730532,0.6194654321269468,0.7295385554757076,0.3805345678730532,0.6194654321269468,-0.005115979971668453,-0.0006004110182139225,0.008041253285400922,0.010216122940678488,0.48729856389299603,0.5357574936374448,0.48548550214947656,0.6255151080732207,0.37448489192677925,0.6274873772034862,0.37251262279651376,0.6335250025394418,0.3664749974605582,0.6476972109966553,0.35230278900334466,0.6727649119653174,0.3272350880346826,0.5532835798768039,0.4467164201231961,0.5070600291502162,0.4929399708497838,0.0792,0.14446666666666666,0.21683333333333332,0.8425114919354839,0.8424461276015012,0.8488996682381701,0.9257415322580645,0.9180126919140226,0.9170496245852977,0.998,0.4928846320745135
20,1000,42,toorPIA-embedding,0,False,0.2843956579126178,0.3341082795329462,0.3861861000846518,0.4161453074353044,0.4669358936977592,0.5408933015606892,0.6503662564631145,0.5399867030074851,0.4600132969925149,0.5167216000913408,0.4832783999086592,0.48639924349750974,0.5136007565024903,0.468186196378401,0.531813803621599,0.4412913478514067,0.5587086521485933,0.4167419936849815,0.5832580063150186,0.3996733431104028,0.6003266568895972,0.6503662564631145,0.3996733431104028,0.6003266568895972,-0.005079536687948451,-0.001333227398571504,0.003954481868413169,0.007895735841942387,0.42077435612292224,0.46470474896651887,0.4219426767208978,0.5727177238865904,0.42728227611340963,0.5752506437930301,0.42474935620696985,0.5819911653562733,0.41800883464372673,0.5975066085107038,0.4024933914892962,0.6942679931233687,0.30573200687663127,0.5732159206673734,0.42678407933262663,0.5235480328093353,0.47645196719066474,0.039,0.09546666666666666,0.15646666666666667,0.7563685483870968,0.7600975776185602,0.7644725685350096,0.8820364919354838,0.8707761856021835,0.8630709970316047,1.0,0.40140665330177283
40,1000,42,toorPIA-embedding,0,False,0.23828803244106556,0.26950839241992647,0.3043826885998804,0.3338474144751486,0.38595222108573063,0.45803178278286866,0.5721129028095858,0.510581042570525,0.48941895742947505,0.49074744531023484,0.5092525546897652,0.4694031240778041,0.530596875922196,0.4546621650440863,0.5453378349559137,0.43529590790006295,0.5647040920999371,0.41929267181824237,0.5807073281817576,0.41229325462144817,0.5877067453785518,0.5721129028095858,0.41229325462144817,0.5877067453785518,0.0035369331932986834,0.006298318650787538,0.008292924167170397,0.012477921602094752,0.4364017699975391,0.45912390070499737,0.3967469025080687,0.5366305897000891,0.46336941029991086,0.5413589702811669,0.45864102971883314,0.552216196741725,0.44778380325827505,0.5726398479488033,0.4273601520511967,0.6862745811704425,0.3137254188295575,0.5685427314228899,0.4314572685771101,0.5210987750846796,0.4789012249153204,0.033600000000000005,0.06906666666666667,0.11086666666666667,0.6947764112903225,0.6962779256226543,0.6976177405273267,0.8205703629032258,0.8039091777550325,0.7924528723590012,0.999,0.3658978009237561
80,1000,42,toorPIA-embedding,0,False,0.20310928563729416,0.23009521712705105,0.26189689719331277,0.29013203020410805,0.346086607212639,0.4138378382086231,0.5203943297182025,0.4984570870142744,0.5015429129857256,0.4832373670139735,0.5167626329860264,0.46615551290841106,0.5338444870915889,0.4545083690806092,0.5454916309193908,0.4388946170166978,0.5611053829833021,0.42571151555207676,0.5742884844479232,0.42246941458140347,0.5775305854185966,0.5203943297182025,0.42246941458140347,0.5775305854185966,-0.008343312679154691,-0.00590970049535981,-0.0054961657007463706,-0.012416070413709233,0.3529670117826642,0.414867971037685,0.3802609488159592,0.5500760047071194,0.44992399529288063,0.5532297615084487,0.4467702384915513,0.5630255398648578,0.4369744601351422,0.5840946621462917,0.4159053378537083,0.724674967001963,0.275325032998037,0.5929821553075828,0.4070178446924172,0.5368490681950493,0.4631509318049507,0.0218,0.045733333333333334,0.07716666666666666,0.6287979838709677,0.6309602865916069,0.6361643443338572,0.7677471774193548,0.7558426475605595,0.7463459752051685,0.971,0.3200324509759603
100,1000,42,toorPIA-embedding,0,False,0.21316497678187918,0.23832256226435858,0.271064896466699,0.29570495291697,0.33882601420697783,0.40380363178051926,0.5033001469668283,0.49383308635508766,0.5061669136449123,0.4767529727535135,0.5232470272464864,0.4607004407735408,0.5392995592264592,0.4495599497374828,0.5504400502625172,0.43597748675270714,0.5640225132472929,0.4252017365469148,0.5747982634530853,0.4228939100298123,0.5771060899701876,0.5033001469668283,0.4228939100298123,0.5771060899701876,-0.007325449996642387,0.005992905495100486,-2.0635952327823972e-05,-0.00029480393493467027,0.3184879171073412,0.3655430444005558,0.34553996859281777,0.563829256435644,0.43617074356435603,0.5641791619618794,0.43582083803812055,0.5743432004988259,0.4256567995011741,0.5920186124594303,0.4079813875405697,0.7469152979225779,0.25308470207742206,0.6162873162327808,0.38371268376721923,0.5551206411165804,0.44487935888341956,0.0124,0.038799999999999994,0.06753333333333332,0.592751814516129,0.6048921869669055,0.6161112275187708,0.7555048387096774,0.743678812691914,0.7365961934695303,0.934,0.2767567508397018
200,1000,42,toorPIA-embedding,0,False,0.20129528358131488,0.22330165154546275,0.2546757430719284,0.27976184842871166,0.32058590759072253,0.3780134284295561,0.4712749270689626,0.47459290869925697,0.525407091300743,0.46224771516818675,0.5377522848318133,0.44886367975860103,0.551136320241399,0.4400164287580532,0.5599835712419468,0.4301164158130023,0.5698835841869977,0.4235365768602111,0.5764634231397889,0.4263849005350978,0.5736150994649022,0.4712749270689626,0.4263849005350978,0.5736150994649022,-0.0007454157427097896,0.000285910295684326,-0.008501138711970177,-0.011854483612494582,0.2064319624356576,0.23354380089082297,0.213693866404307,0.55043158271582,0.44956841728417996,0.5538143240644082,0.4461856759355918,0.5664133249548052,0.43358667504519477,0.586743325347898,0.41325667465210203,0.7896357609895807,0.21036423901041934,0.6652965419571147,0.33470345804288526,0.6032154668018084,0.3967845331981916,0.0114,0.026533333333333336,0.0516,0.5478502016129032,0.5684098942340498,0.5828735812816483,0.7320143145161291,0.7204882975093825,0.7138795879168849,0.754,0.14871769457666686
250,1000,42,toorPIA-embedding,0,False,0.21676989782659323,0.240705975133439,0.261813119012264,0.2817230703737684,0.3207424238710182,0.3722627986178434,0.4550487741323274,0.4739586872425185,0.5260413127574814,0.45894402184226113,0.5410559781577389,0.44442469930849404,0.555575300691506,0.43796781317244987,0.5620321868275502,0.4292774501066109,0.5707225498933891,0.42394292969211267,0.5760570703078873,0.42809688624677444,0.5719031137532256,0.4550487741323274,0.42809688624677444,0.5719031137532256,-0.002599577920085239,0.00040779110640463913,-0.008237962280575821,-0.006920535357940889,0.10773107896575533,0.10381300403738972,0.08864549314102932,0.5267724291390514,0.4732275708609486,0.5300820752868369,0.46991792471316307,0.5433560385701139,0.45664396142988606,0.5644545059301436,0.43554549406985643,0.8206799283895077,0.17932007161049235,0.7065226223786778,0.2934773776213222,0.6460435106531524,0.35395648934684765,0.0066,0.023266666666666665,0.047799999999999995,0.49896310483870965,0.5369450699419993,0.5592380303823992,0.7289032258064516,0.7164221767314909,0.7114023048716606,0.566,0.02672041949836897
300,1000,42,toorPIA-embedding,0,False,0.1878720466488373,0.20168161882199512,0.23569320196732305,0.25784372223392393,0.3036832783001849,0.3591617830971403,0.4462967941207967,0.46830801915907727,0.5316919808409227,0.45915821254095623,0.5408417874590438,0.4474635406760938,0.5525364593239062,0.44105267876212606,0.5589473212378739,0.4319520312155553,0.5680479687844446,0.42637481428535484,0.5736251857146452,0.43127385818553754,0.5687261418144625,0.4462967941207967,0.43127385818553754,0.5687261418144625,-0.0022345937075318413,0.00019566829159978192,-0.0028786275589403466,-0.006931598977030411,0.011337159931267517,0.012762427675059846,0.004409858245606906,0.5083060564028983,0.4916939435971017,0.5110364298794663,0.4889635701205337,0.5240609732674868,0.4759390267325132,0.5475034080552557,0.45249659194474434,0.846265478144608,0.15373452185539205,0.7361716950513733,0.26382830494862675,0.6758946970635628,0.32410530293643725,0.0054,0.021333333333333333,0.04036666666666667,0.4972756048387097,0.5302904810644831,0.5524676444910075,0.7157342741935484,0.7042305015353121,0.6982091496420464,0.329,-0.022900022738274888
400,1000,42,toorPIA-embedding,0,False,0.20459925188973627,0.22066903657355535,0.2560610197079302,0.2790779844736798,0.31284505247503974,0.36490741955262584,0.44203664639744006,0.4664311582304787,0.5335688417695212,0.45645232732114716,0.5435476726788528,0.44482220636164005,0.55517779363836,0.4378802992797679,0.5621197007202321,0.42976528483843907,0.570234715161561,0.4253462828880656,0.5746537171119344,0.43048849062945427,0.5695115093705457,0.44203664639744006,0.43048849062945427,0.5695115093705457,0.0043562193493171045,0.00539737459048184,0.007868210394687122,0.004576025452703621,0.059403418102067146,0.06177484497949052,0.055487149462367026,0.5182948341869859,0.48170516581301415,0.5222886533846044,0.4777113466153956,0.5316063552524432,0.46839364474755685,0.5531045473204306,0.4468954526795694,0.8359249050938906,0.1640750949061094,0.7216647963207361,0.2783352036792639,0.6597813361790362,0.3402186638209638,0.0056,0.0212,0.04286666666666667,0.4802665322580645,0.5183716820197884,0.5453268727082242,0.7187072580645162,0.7069693619924939,0.7024218962807753,0.44,-0.001480617129426565
768,1000,42,toorPIA-embedding,0,False,0.2191004618281938,0.23769555925318453,0.25599938557587665,0.2738653530334342,0.3030981544955882,0.34490649258086686,0.41262114050035176,0.4600414200655299,0.5399585799344702,0.44877627494358224,0.5512237250564178,0.4393607528075284,0.5606392471924716,0.4334278070215856,0.5665721929784144,0.4277232647166341,0.572276735283366,0.42589092085283276,0.5741090791471672,0.4327941660159551,0.5672058339840449,0.41262114050035176,0.4327941660159551,0.5672058339840449,0.0007759159436994072,0.0009211115343014893,0.003936393771013367,0.0067556379160571235,0.012762468922128966,0.008317602056381929,0.0104475388410696,0.5029342267852995,0.49706577321470047,0.5076085425324861,0.4923914574675139,0.5183231898657189,0.4816768101342811,0.5398807442372758,0.46011925576272417,0.8483459944911882,0.1516540055088118,0.737657386625074,0.26234261337492604,0.6752255278675102,0.3247744721324898,0.0058000000000000005,0.017400000000000002,0.03646666666666667,0.43516754032258065,0.48437291026953255,0.519875222629649,0.7158766129032258,0.703326987376322,0.6961569058844073,0.329,-0.02151071340857411
